sequence_id	alignment_length	ungapped_length	gap_fraction	missing_fraction	qc_flag
Mustela_nivalis|XP_082573141.1	978	805	0.176892	0.000000	pass
Mesoplodon_mirus|XP_082465508.1	978	807	0.174847	0.000000	pass
Grampus_griseus|XP_082537250.1	978	804	0.177914	0.000000	pass
Balaenoptera_physalus|XP_082303463.1	978	802	0.179959	0.000000	pass
Sturnira_hondurensis|XP_036902242.1	978	804	0.177914	0.000000	pass
Leptonychotes_weddellii|XP_081665257.1	978	805	0.176892	0.000000	pass
Panthera_onca|XP_081649766.1	978	805	0.176892	0.000000	pass
Giraffa_tippelskirchi|XP_081421379.1	978	804	0.177914	0.000000	pass
Spermophilus_citellus|XP_081133775.1	978	817	0.164622	0.000000	pass
Martes_martes|XP_080651792.1	978	805	0.176892	0.000000	pass
Plecotus_auritus|XP_080509031.1	978	811	0.170757	0.000000	pass
Muscardinus_avellanarius|XP_080574402.1	978	805	0.176892	0.000000	pass
Cnephaeus_nilssonii|XP_079621363.1	978	811	0.170757	0.000000	pass
Sciurus_vulgaris|XP_078979271.1	978	805	0.176892	0.000000	pass
Macaca_mulatta|NP_001129168.1	978	805	0.176892	0.000000	pass
Callithrix_jacchus|XP_078219696.1	978	805	0.176892	0.000000	pass
Mus_musculus|NP_001123985.1	978	805	0.176892	0.000000	pass
Pteropus_vampyrus|XP_011361275.1	978	804	0.177914	0.000000	pass
Phascolarctos_cinereus|XP_078002220.1	978	807	0.174847	0.001022	pass
Pteropus_medius|XP_039729365.1	978	805	0.176892	0.000000	pass
Halichoerus_grypus|XP_077921088.1	978	805	0.176892	0.000000	pass
Ictidomys_tridecemlineatus|XP_005316051.4	978	817	0.164622	0.000000	pass
Canis_aureus|XP_077743714.1	978	804	0.177914	0.000000	pass
Urocitellus_parryii|XP_026252505.2	978	807	0.174847	0.000000	pass
Crocuta_crocuta|XP_077625770.1	978	805	0.176892	0.000000	pass
