accession	protein_id	header	sequence_length	source_db	retrieved_at_utc	query
XP_082720441.1	3277845334	XP_082720441.1 angiotensin-converting enzyme 2 [Leucopleurus acutus]	509	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082573142.1	3274692625	XP_082573142.1 angiotensin-converting enzyme 2 isoform 2 [Mustela nivalis]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082573141.1	3274692623	XP_082573141.1 angiotensin-converting enzyme 2 isoform 1 [Mustela nivalis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082573140.1	3274692621	XP_082573140.1 angiotensin-converting enzyme 2 isoform 1 [Mustela nivalis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082573139.1	3274692619	XP_082573139.1 angiotensin-converting enzyme 2 isoform 1 [Mustela nivalis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082465508.1	3274439867	XP_082465508.1 angiotensin-converting enzyme 2 [Mesoplodon mirus]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082537252.1	3274089149	XP_082537252.1 angiotensin-converting enzyme 2 isoform 3 [Grampus griseus]	693	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082537251.1	3274089146	XP_082537251.1 angiotensin-converting enzyme 2 isoform 2 [Grampus griseus]	798	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082537250.1	3274089142	XP_082537250.1 angiotensin-converting enzyme 2 isoform 1 [Grampus griseus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082303463.1	3273343566	XP_082303463.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Balaenoptera physalus]	802	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_082231860.1	3272957808	XP_082231860.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Balaenoptera borealis]	535	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036902242.1	1927019676	XP_036902242.1 angiotensin-converting enzyme 2 [Sturnira hondurensis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036902241.1	1927019674	XP_036902241.1 angiotensin-converting enzyme 2 [Sturnira hondurensis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081665257.1	3263741650	XP_081665257.1 angiotensin-converting enzyme 2 [Leptonychotes weddellii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081665255.1	3263741648	XP_081665255.1 angiotensin-converting enzyme 2 [Leptonychotes weddellii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081649767.1	3263104461	XP_081649767.1 angiotensin-converting enzyme 2 isoform X2 [Panthera onca]	737	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081649766.1	3263104459	XP_081649766.1 angiotensin-converting enzyme 2 isoform X1 [Panthera onca]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081649765.1	3263104457	XP_081649765.1 angiotensin-converting enzyme 2 isoform X1 [Panthera onca]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081421384.1	3254296155	XP_081421384.1 angiotensin-converting enzyme 2 isoform X6 [Giraffa tippelskirchi]	638	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081421383.1	3254296150	XP_081421383.1 angiotensin-converting enzyme 2 isoform X5 [Giraffa tippelskirchi]	693	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081421382.1	3254296148	XP_081421382.1 angiotensin-converting enzyme 2 isoform X4 [Giraffa tippelskirchi]	739	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081421381.1	3254296146	XP_081421381.1 angiotensin-converting enzyme 2 isoform X3 [Giraffa tippelskirchi]	743	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081421380.1	3254296144	XP_081421380.1 angiotensin-converting enzyme 2 isoform X2 [Giraffa tippelskirchi]	756	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081421379.1	3254296142	XP_081421379.1 angiotensin-converting enzyme 2 isoform X1 [Giraffa tippelskirchi]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081133776.1	3248704423	XP_081133776.1 angiotensin-converting enzyme 2 isoform 2 [Spermophilus citellus]	706	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081133775.1	3248704421	XP_081133775.1 angiotensin-converting enzyme 2 isoform 1 [Spermophilus citellus]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_081078135.1	3248484516	XP_081078135.1 angiotensin-converting enzyme 2 [Mesoplodon bidens]	509	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_080651792.1	3245653624	XP_080651792.1 angiotensin-converting enzyme 2 [Martes martes]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_080509031.1	3244851274	XP_080509031.1 angiotensin-converting enzyme 2 [Plecotus auritus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_080574403.1	3244640389	XP_080574403.1 angiotensin-converting enzyme 2 isoform 2 [Muscardinus avellanarius]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
