sequence_id	accession	scientific_name	sequence_length	header	source_db	retrieved_at_utc
Mustela_nivalis|XP_082573141.1	XP_082573141.1	Mustela nivalis	805	XP_082573141.1 angiotensin-converting enzyme 2 isoform 1 [Mustela nivalis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mesoplodon_mirus|XP_082465508.1	XP_082465508.1	Mesoplodon mirus	807	XP_082465508.1 angiotensin-converting enzyme 2 [Mesoplodon mirus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Grampus_griseus|XP_082537250.1	XP_082537250.1	Grampus griseus	804	XP_082537250.1 angiotensin-converting enzyme 2 isoform 1 [Grampus griseus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Balaenoptera_physalus|XP_082303463.1	XP_082303463.1	Balaenoptera physalus	802	XP_082303463.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Balaenoptera physalus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sturnira_hondurensis|XP_036902242.1	XP_036902242.1	Sturnira hondurensis	804	XP_036902242.1 angiotensin-converting enzyme 2 [Sturnira hondurensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Leptonychotes_weddellii|XP_081665257.1	XP_081665257.1	Leptonychotes weddellii	805	XP_081665257.1 angiotensin-converting enzyme 2 [Leptonychotes weddellii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Panthera_onca|XP_081649766.1	XP_081649766.1	Panthera onca	805	XP_081649766.1 angiotensin-converting enzyme 2 isoform X1 [Panthera onca]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Giraffa_tippelskirchi|XP_081421379.1	XP_081421379.1	Giraffa tippelskirchi	804	XP_081421379.1 angiotensin-converting enzyme 2 isoform X1 [Giraffa tippelskirchi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Spermophilus_citellus|XP_081133775.1	XP_081133775.1	Spermophilus citellus	817	XP_081133775.1 angiotensin-converting enzyme 2 isoform 1 [Spermophilus citellus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Martes_martes|XP_080651792.1	XP_080651792.1	Martes martes	805	XP_080651792.1 angiotensin-converting enzyme 2 [Martes martes]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Plecotus_auritus|XP_080509031.1	XP_080509031.1	Plecotus auritus	811	XP_080509031.1 angiotensin-converting enzyme 2 [Plecotus auritus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Muscardinus_avellanarius|XP_080574402.1	XP_080574402.1	Muscardinus avellanarius	805	XP_080574402.1 angiotensin-converting enzyme 2 isoform 1 [Muscardinus avellanarius]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cnephaeus_nilssonii|XP_079621363.1	XP_079621363.1	Cnephaeus nilssonii	811	XP_079621363.1 angiotensin-converting enzyme 2 [Cnephaeus nilssonii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sciurus_vulgaris|XP_078979271.1	XP_078979271.1	Sciurus vulgaris	805	XP_078979271.1 angiotensin-converting enzyme 2 isoform 1 [Sciurus vulgaris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Macaca_mulatta|NP_001129168.1	NP_001129168.1	Macaca mulatta	805	NP_001129168.1 angiotensin-converting enzyme 2 precursor [Macaca mulatta]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Callithrix_jacchus|XP_078219696.1	XP_078219696.1	Callithrix jacchus	805	XP_078219696.1 angiotensin-converting enzyme 2 [Callithrix jacchus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mus_musculus|NP_001123985.1	NP_001123985.1	Mus musculus	805	NP_001123985.1 angiotensin-converting enzyme 2 precursor [Mus musculus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pteropus_vampyrus|XP_011361275.1	XP_011361275.1	Pteropus vampyrus	804	XP_011361275.1 angiotensin-converting enzyme 2 [Pteropus vampyrus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phascolarctos_cinereus|XP_078002220.1	XP_078002220.1	Phascolarctos cinereus	807	XP_078002220.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Phascolarctos cinereus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pteropus_medius|XP_039729365.1	XP_039729365.1	Pteropus medius	805	XP_039729365.1 angiotensin-converting enzyme 2 [Pteropus medius]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Halichoerus_grypus|XP_077921088.1	XP_077921088.1	Halichoerus grypus	805	XP_077921088.1 angiotensin-converting enzyme 2 isoform X1 [Halichoerus grypus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ictidomys_tridecemlineatus|XP_005316051.4	XP_005316051.4	Ictidomys tridecemlineatus	817	XP_005316051.4 angiotensin-converting enzyme 2 isoform X1 [Ictidomys tridecemlineatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Canis_aureus|XP_077743714.1	XP_077743714.1	Canis aureus	804	XP_077743714.1 angiotensin-converting enzyme 2 [Canis aureus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Urocitellus_parryii|XP_026252505.2	XP_026252505.2	Urocitellus parryii	807	XP_026252505.2 angiotensin-converting enzyme 2 isoform X1 [Urocitellus parryii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Crocuta_crocuta|XP_077625770.1	XP_077625770.1	Crocuta crocuta	805	XP_077625770.1 angiotensin-converting enzyme 2 isoform X1 [Crocuta crocuta]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Tamandua_tetradactyla|XP_077002463.1	XP_077002463.1	Tamandua tetradactyla	804	XP_077002463.1 angiotensin-converting enzyme 2 isoform X1 [Tamandua tetradactyla]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Callospermophilus_lateralis|XP_076962747.1	XP_076962747.1	Callospermophilus lateralis	817	XP_076962747.1 angiotensin-converting enzyme 2 isoform X1 [Callospermophilus lateralis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Arvicanthis_niloticus|XP_034341939.1	XP_034341939.1	Arvicanthis niloticus	805	XP_034341939.1 angiotensin-converting enzyme 2 [Arvicanthis niloticus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
