sequence_id	status	protein_ungapped_length	translated_cds_length	codon_alignment_length	internal_stop_codons	ambiguous_codons
Mustela_nivalis|XP_082573141.1	codon_alignment_pass	805	805	2934	0	0
Mesoplodon_mirus|XP_082465508.1	codon_alignment_pass	807	807	2934	0	0
Grampus_griseus|XP_082537250.1	codon_alignment_pass	804	804	2934	0	0
Balaenoptera_physalus|XP_082303463.1	codon_alignment_pass	802	802	2934	0	0
Sturnira_hondurensis|XP_036902242.1	codon_alignment_pass	804	804	2934	0	0
Leptonychotes_weddellii|XP_081665257.1	codon_alignment_pass	805	805	2934	0	0
Panthera_onca|XP_081649766.1	codon_alignment_pass	805	805	2934	0	0
Giraffa_tippelskirchi|XP_081421379.1	codon_alignment_pass	804	804	2934	0	0
Spermophilus_citellus|XP_081133775.1	codon_alignment_pass	817	817	2934	0	0
Martes_martes|XP_080651792.1	codon_alignment_pass	805	805	2934	0	0
Plecotus_auritus|XP_080509031.1	codon_alignment_pass	811	811	2934	0	0
Muscardinus_avellanarius|XP_080574402.1	codon_alignment_pass	805	805	2934	0	0
Cnephaeus_nilssonii|XP_079621363.1	codon_alignment_pass	811	811	2934	0	0
Sciurus_vulgaris|XP_078979271.1	codon_alignment_pass	805	805	2934	0	0
Macaca_mulatta|NP_001129168.1	codon_alignment_pass	805	805	2934	0	0
Callithrix_jacchus|XP_078219696.1	codon_alignment_pass	805	805	2934	0	0
Mus_musculus|NP_001123985.1	codon_alignment_pass	805	805	2934	0	0
Pteropus_vampyrus|XP_011361275.1	codon_alignment_pass	804	804	2934	0	0
Phascolarctos_cinereus|XP_078002220.1	excluded_ambiguous_codon	807	807	0	0	1
Pteropus_medius|XP_039729365.1	codon_alignment_pass	805	805	2934	0	0
Halichoerus_grypus|XP_077921088.1	codon_alignment_pass	805	805	2934	0	0
Ictidomys_tridecemlineatus|XP_005316051.4	codon_alignment_pass	817	817	2934	0	0
Canis_aureus|XP_077743714.1	codon_alignment_pass	804	804	2934	0	0
Urocitellus_parryii|XP_026252505.2	codon_alignment_pass	807	807	2934	0	0
Crocuta_crocuta|XP_077625770.1	codon_alignment_pass	805	805	2934	0	0
Tamandua_tetradactyla|XP_077002463.1	codon_alignment_pass	804	804	2934	0	0
Callospermophilus_lateralis|XP_076962747.1	codon_alignment_pass	817	817	2934	0	0
Arvicanthis_niloticus|XP_034341939.1	codon_alignment_pass	805	805	2934	0	0
Peromyscus_maniculatus_bairdii|XP_076418942.1	codon_alignment_pass	805	805	2934	0	0
Microcebus_murinus|XP_075855690.1	codon_alignment_pass	826	826	2934	0	0
Microtus_pennsylvanicus|XP_075812906.1	codon_alignment_pass	804	804	2934	0	0
Herpailurus_yagouaroundi|XP_040324139.1	codon_alignment_pass	805	805	2934	0	0
Tenrec_ecaudatus|XP_075394682.1	codon_alignment_pass	825	825	2934	0	0
Rhinolophus_sinicus|XP_074179505.1	codon_alignment_pass	805	805	2934	0	0
Saimiri_boliviensis|XP_010334925.2	codon_alignment_pass	805	805	2934	0	0
Camelus_bactrianus|XP_074215638.1	codon_alignment_pass	805	805	2934	0	0
Sminthopsis_crassicaudata|XP_074156032.1	codon_alignment_pass	806	806	2934	0	0
Macrotis_lagotis|XP_074048495.1	codon_alignment_pass	822	822	2934	0	0
Castor_canadensis|XP_073920481.1	codon_alignment_pass	805	805	2934	0	0
Macaca_fascicularis|XP_005593094.3	codon_alignment_pass	805	805	2934	0	0
Callorhinus_ursinus|XP_025713397.2	codon_alignment_pass	806	806	2934	0	0
Tursiops_truncatus|XP_019781177.2	codon_alignment_pass	804	804	2934	0	0
Rattus_norvegicus|NP_001012006.1	codon_alignment_pass	805	805	2934	0	0
Bos_taurus|XP_024843618.1	codon_alignment_pass	811	811	2934	0	0
